Total Nacional,Comunidades y Ciudades Autnomas,Provincias,Rgimen y estado,Periodo,Total
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M06,702
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M05,839
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M04,613
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M03,677
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M02,1.017
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2012M01,1.136
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M12,610
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M11,732
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M10,816
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M09,831
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M08,788
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M07,873
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M06,811
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M05,985
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M04,752
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M03,1.032
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M02,1.769
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2011M01,1.588
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2010M12,1.012
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2010M11,1.070
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2010M10,1.003
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2010M09,1.269
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2010M08,1.422
Total Nacional,09 Catalua,08 Barcelona,Vivienda nueva,2010M07,1.427
