Comunidades y Ciudades Autnomas,Provincias,Periodo,Total
09 Catalua,Barcelona,2022,5043
09 Catalua,Barcelona,2022,5794
09 Catalua,Barcelona,2022,4818
09 Catalua,Barcelona,2022,5586
09 Catalua,Barcelona,2022,4664
09 Catalua,Barcelona,2022,4670
09 Catalua,Barcelona,2021,4287
09 Catalua,Barcelona,2021,4230
09 Catalua,Barcelona,2021,4082
09 Catalua,Barcelona,2021,4933
09 Catalua,Barcelona,2021,4380
09 Catalua,Barcelona,2021,4695
09 Catalua,Barcelona,2021,4314
09 Catalua,Barcelona,2021,4603
09 Catalua,Barcelona,2021,4183
09 Catalua,Barcelona,2021,5036
09 Catalua,Barcelona,2021,3685
09 Catalua,Barcelona,2021,3796
09 Catalua,Barcelona,2020,3316
09 Catalua,Barcelona,2020,3744
09 Catalua,Barcelona,2020,3171
09 Catalua,Barcelona,2020,3154
09 Catalua,Barcelona,2020,2574
09 Catalua,Barcelona,2020,3118
09 Catalua,Barcelona,2020,2909
09 Catalua,Barcelona,2020,2700
09 Catalua,Barcelona,2020,2765
09 Catalua,Barcelona,2020,3716
09 Catalua,Barcelona,2020,4273
09 Catalua,Barcelona,2020,4300
09 Catalua,Barcelona,2019,3153
09 Catalua,Barcelona,2019,3578
09 Catalua,Barcelona,2019,4232
09 Catalua,Barcelona,2019,3788
09 Catalua,Barcelona,2019,3632
09 Catalua,Barcelona,2019,4740
09 Catalua,Barcelona,2019,3834
09 Catalua,Barcelona,2019,4632
09 Catalua,Barcelona,2019,3964
09 Catalua,Barcelona,2019,4247
09 Catalua,Barcelona,2019,4545
09 Catalua,Barcelona,2019,4976
09 Catalua,Barcelona,2018,3156
09 Catalua,Barcelona,2018,4100
09 Catalua,Barcelona,2018,4454
09 Catalua,Barcelona,2018,3997
09 Catalua,Barcelona,2018,4149
09 Catalua,Barcelona,2018,4491
09 Catalua,Barcelona,2018,4204
09 Catalua,Barcelona,2018,4189
09 Catalua,Barcelona,2018,4056
09 Catalua,Barcelona,2018,4154
09 Catalua,Barcelona,2018,4067
09 Catalua,Barcelona,2018,4492
09 Catalua,Barcelona,2017,2839
09 Catalua,Barcelona,2017,4015
09 Catalua,Barcelona,2017,3566
09 Catalua,Barcelona,2017,3908
09 Catalua,Barcelona,2017,4386
09 Catalua,Barcelona,2017,4301
09 Catalua,Barcelona,2017,4378
09 Catalua,Barcelona,2017,4823
09 Catalua,Barcelona,2017,3211
09 Catalua,Barcelona,2017,4261
09 Catalua,Barcelona,2017,3685
09 Catalua,Barcelona,2017,4050
09 Catalua,Barcelona,2016,2936
09 Catalua,Barcelona,2016,3300
09 Catalua,Barcelona,2016,3042
09 Catalua,Barcelona,2016,3717
09 Catalua,Barcelona,2016,3677
09 Catalua,Barcelona,2016,3643
09 Catalua,Barcelona,2016,3667
09 Catalua,Barcelona,2016,3605
09 Catalua,Barcelona,2016,3282
09 Catalua,Barcelona,2016,3182
09 Catalua,Barcelona,2016,3171
09 Catalua,Barcelona,2016,3069
09 Catalua,Barcelona,2015,2523
09 Catalua,Barcelona,2015,2772
09 Catalua,Barcelona,2015,2560
09 Catalua,Barcelona,2015,2770
09 Catalua,Barcelona,2015,2587
09 Catalua,Barcelona,2015,3063
09 Catalua,Barcelona,2015,2651
09 Catalua,Barcelona,2015,2533
09 Catalua,Barcelona,2015,2638
09 Catalua,Barcelona,2015,2595
09 Catalua,Barcelona,2015,2801
09 Catalua,Barcelona,2015,3131
09 Catalua,Barcelona,2014,2021
09 Catalua,Barcelona,2014,2261
09 Catalua,Barcelona,2014,2393
09 Catalua,Barcelona,2014,2166
09 Catalua,Barcelona,2014,2059
09 Catalua,Barcelona,2014,2625
09 Catalua,Barcelona,2014,2332
09 Catalua,Barcelona,2014,2444
09 Catalua,Barcelona,2014,2185
09 Catalua,Barcelona,2014,2322
09 Catalua,Barcelona,2014,2131
09 Catalua,Barcelona,2014,2472
09 Catalua,Barcelona,2013,1634
09 Catalua,Barcelona,2013,1745
09 Catalua,Barcelona,2013,1691
09 Catalua,Barcelona,2013,2197
09 Catalua,Barcelona,2013,2148
09 Catalua,Barcelona,2013,2329
09 Catalua,Barcelona,2013,1946
09 Catalua,Barcelona,2013,2133
09 Catalua,Barcelona,2013,1775
09 Catalua,Barcelona,2013,1526
09 Catalua,Barcelona,2013,2418
09 Catalua,Barcelona,2013,2983
09 Catalua,Barcelona,2012,1503
09 Catalua,Barcelona,2012,1684
09 Catalua,Barcelona,2012,1729
09 Catalua,Barcelona,2012,2048
09 Catalua,Barcelona,2012,2127
09 Catalua,Barcelona,2012,2314
09 Catalua,Barcelona,2012,2048
09 Catalua,Barcelona,2012,2244
09 Catalua,Barcelona,2012,1689
09 Catalua,Barcelona,2012,1837
09 Catalua,Barcelona,2012,2436
09 Catalua,Barcelona,2012,2700
09 Catalua,Barcelona,2011,1599
09 Catalua,Barcelona,2011,1969
09 Catalua,Barcelona,2011,1800
09 Catalua,Barcelona,2011,2048
09 Catalua,Barcelona,2011,2134
09 Catalua,Barcelona,2011,2149
09 Catalua,Barcelona,2011,2061
09 Catalua,Barcelona,2011,2545
09 Catalua,Barcelona,2011,1780
09 Catalua,Barcelona,2011,2366
09 Catalua,Barcelona,2011,4195
09 Catalua,Barcelona,2011,3701
