DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL
30/05/2022,30,Ribera d'Ebre,430192,Ascó,2.5,0,2.5,2.5
31/05/2022,9,Baix Ebre,431554,Tortosa,0.16,0,0,0.16
31/05/2022,25,Pallars Jussà,251155,Isona i Conca Dellà,0,0.5,0,0.5
31/05/2022,13,Barcelonès,80193,Barcelona,0,0,0,0
31/05/2022,29,Priorat,431573,Ulldemolins,4.43,1.53,0,5.96
01/06/2022,9,Baix Ebre,431554,Tortosa,0,0.02,0,0.02
01/06/2022,35,Solsonès,251240,Lladurs,0,0,0,0
02/06/2022,11,Baix Llobregat,80898,Gavà,0,0.06,0,0.06
02/06/2022,3,Alt Penedès,81458,Olèrdola,0,1.6,0,1.6
02/06/2022,21,Maresme,80351,Calella,0,0.5,0,0.5
03/06/2022,41,Vallès Oriental,82482,Santa Eulàlia de Ronçana,0.02,0,0,0.02
03/06/2022,9,Baix Ebre,431554,Tortosa,0.39,0,0,0.39
04/06/2022,37,Terra Alta,431750,Vilalba dels Arcs,8,0,0,8
04/06/2022,11,Baix Llobregat,81477,Olesa de Montserrat,0.05,0,0,0.05
05/06/2022,41,Vallès Oriental,80977,Gualba,0.07,0,0,0.07
06/06/2022,9,Baix Ebre,431554,Tortosa,0,0,0,0
06/06/2022,3,Alt Penedès,82515,Santa Margarida i els Monjos,0,0.01,0,0.01
07/06/2022,2,Alt Empordà,170545,Colera,0.08,0,0,0.08
07/06/2022,10,Baix Empordà,170340,Calonge i Sant Antoni,0.01,0,0,0.01
08/06/2022,11,Baix Llobregat,81477,Olesa de Montserrat,0,0.01,0,0.01
08/06/2022,13,Barcelonès,80193,Barcelona,0,0,0,0
09/06/2022,33,Segrià,250365,Aspa,0,1,4.2,1
09/06/2022,30,Ribera d'Ebre,431779,Vinebre,0,0.02,0,0.02
11/06/2022,40,Vallès Occidental,82055,Sant Cugat del Vallès,0,0,0,0
11/06/2022,25,Pallars Jussà,252154,Talarn,0,0.05,0.35,0.05
11/06/2022,11,Baix Llobregat,80692,Collbató,0.01,0,0,0.01
11/06/2022,10,Baix Empordà,170340,Calonge i Sant Antoni,0,0.13,0,0.13
11/06/2022,2,Alt Empordà,172288,Vilanant,5.2,0,2.6,5.2
12/06/2022,14,Berguedà,81666,"Pobla de Lillet, la",0.01,0,0,0.01
12/06/2022,40,Vallès Occidental,82055,Sant Cugat del Vallès,0,0,0,0
12/06/2022,26,Pallars Sobirà,252081,Soriguera,0.02,0.03,0,0.05
12/06/2022,35,Solsonès,251484,Odèn,0,0.03,0,0.03
13/06/2022,20,Gironès,170871,Juià,0.28,0.33,13.18,0.61
13/06/2022,4,Alt Urgell,259101,Josa i Tuixén,0,0,0,0
13/06/2022,34,Selva,171030,Maçanet de la Selva,0,0,0,0
14/06/2022,41,Vallès Oriental,81810,"Roca del Vallès, la",1.36,0,4.58,1.36
14/06/2022,30,Ribera d'Ebre,430846,Miravet,0.62,0,0,0.62
15/06/2022,4,Alt Urgell,259097,"Vansa i Fórnols, la",0,0,0,0
15/06/2022,29,Priorat,430960,"Morera de Montsant, la",2.34,0,0,2.34
15/06/2022,4,Alt Urgell,250772,Coll de Nargó,0.07,0.03,0,0.1
15/06/2022,23,Noguera,250426,"Baronia de Rialb, la",0.09,0,0,0.09
15/06/2022,35,Solsonès,250642,Castellar de la Ribera,0.18,0,0,0.18
15/06/2022,35,Solsonès,250642,Castellar de la Ribera,9,0,4.92,9
15/06/2022,25,Pallars Jussà,250019,Abella de la Conca,0.07,0.1,0,0.17
15/06/2022,4,Alt Urgell,259097,"Vansa i Fórnols, la",0.02,0,0,0.02
15/06/2022,37,Terra Alta,430483,Corbera d'Ebre,214.11,73.06,110.22,287.17
15/06/2022,25,Pallars Jussà,250019,Abella de la Conca,0.05,0,0,0.05
15/06/2022,23,Noguera,250349,Artesa de Segre,1174.87,1330.03,178.41,2504.9
15/06/2022,11,Baix Llobregat,82042,Sant Climent de Llobregat,0.02,0.12,0,0.14
15/06/2022,23,Noguera,250946,Foradada,0.87,0.32,2.38,1.19
15/06/2022,35,Solsonès,250642,Castellar de la Ribera,222.89,7.41,91.89,230.3
15/06/2022,4,Alt Urgell,250447,Bassella,8.57,0,0,8.57
15/06/2022,35,Solsonès,250642,Castellar de la Ribera,5.8,0,5.3,5.8
15/06/2022,3,Alt Penedès,80581,Castellet i la Gornal,0,0.04,0,0.04
