,Àmbit territorial,Codi territorial,Nom territori,Any,Període,Habitatges,Renda
433,Municipi,8145,Olèrdola,2022,gener - desembre,34,669.85
434,Municipi,8146,Olesa de Bonesvalls,2022,gener - desembre,12,622.51
435,Municipi,8147,Olesa de Montserrat,2022,gener - desembre,321,638.45
436,Municipi,25149,Oliana,2022,gener - desembre,17,378.18
437,Municipi,25151,Olius,2022,gener - desembre,7,620.71
438,Municipi,8148,Olivella,2022,gener - desembre,28,1026.76
439,Municipi,8149,Olost,2022,gener - desembre,15,447.67
440,Municipi,17114,Olot,2022,gener - desembre,816,496.2
442,Municipi,8144,Olvan,2022,gener - desembre,16,400.48
445,Municipi,25155,Organyà,2022,gener - desembre,13,409.23
449,Municipi,8153,Òrrius,2022,gener - desembre,18,760.0
453,Municipi,8154,Pacs del Penedès,2022,gener - desembre,6,425.83
454,Municipi,8155,Palafolls,2022,gener - desembre,93,591.78
455,Municipi,17117,Palafrugell,2022,gener - desembre,347,582.76
456,Municipi,17118,Palamós,2022,gener - desembre,339,635.78
457,Municipi,25158,"Palau d'Anglesola, el",2022,gener - desembre,12,382.5
459,Municipi,17120,Palau-saverdera,2022,gener - desembre,17,585.0
460,Municipi,8156,Palau-solità i Plegamans,2022,gener - desembre,164,831.12
461,Municipi,43100,"Pallaresos, els",2022,gener - desembre,16,629.38
462,Municipi,8157,Pallejà,2022,gener - desembre,122,757.6
463,Municipi,8905,"Palma de Cervelló, la",2022,gener - desembre,56,691.85
465,Municipi,17124,Pals,2022,gener - desembre,19,814.84
466,Municipi,8158,"Papiol, el",2022,gener - desembre,48,852.92
468,Municipi,8159,Parets del Vallès,2022,gener - desembre,233,710.81
470,Municipi,17128,Pau,2022,gener - desembre,9,680.56
475,Municipi,43103,Perafort,2022,gener - desembre,17,566.76
476,Municipi,17132,Peralada,2022,gener - desembre,55,662.73
477,Municipi,43104,"Perelló, el",2022,gener - desembre,27,353.33
478,Municipi,8161,Piera,2022,gener - desembre,187,615.23
480,Municipi,8163,Pineda de Mar,2022,gener - desembre,520,603.09
484,Municipi,43108,"Pla de Santa Maria, el",2022,gener - desembre,34,474.24
485,Municipi,8164,"Pla del Penedès, el",2022,gener - desembre,19,491.6
486,Municipi,17133,"Planes d'Hostoles, les",2022,gener - desembre,16,469.06
490,Municipi,8165,"Pobla de Claramunt, la",2022,gener - desembre,31,408.87
491,Municipi,8166,"Pobla de Lillet, la",2022,gener - desembre,31,449.68
492,Municipi,43109,"Pobla de Mafumet, la",2022,gener - desembre,72,499.68
494,Municipi,43111,"Pobla de Montornès, la",2022,gener - desembre,47,513.55
495,Municipi,25171,"Pobla de Segur, la",2022,gener - desembre,58,332.06
497,Municipi,8167,Polinyà,2022,gener - desembre,103,680.91
499,Municipi,17135,Pont de Molins,2022,gener - desembre,6,433.33
500,Municipi,25173,"Pont de Suert, el",2022,gener - desembre,36,385.56
501,Municipi,8182,"Pont de Vilomara i Rocafort, el",2022,gener - desembre,60,456.73
502,Municipi,8168,Pontons,2022,gener - desembre,14,327.5
504,Municipi,25172,Ponts,2022,gener - desembre,38,332.45
505,Municipi,17137,Porqueres,2022,gener - desembre,26,624.42
507,Municipi,17140,"Port de la Selva, el",2022,gener - desembre,20,712.25
508,Municipi,17138,Portbou,2022,gener - desembre,7,402.14
509,Municipi,25174,"Portella, la",2022,gener - desembre,7,405.71
511,Municipi,43116,Prades,2022,gener - desembre,8,383.12
513,Municipi,8169,"Prat de Llobregat, el",2022,gener - desembre,851,765.69
515,Municipi,8171,Prats de Lluçanès,2022,gener - desembre,44,423.8
516,Municipi,8170,"Prats de Rei, els",2022,gener - desembre,10,319.34
520,Municipi,8230,Premià de Dalt,2022,gener - desembre,132,1113.92
521,Municipi,8172,Premià de Mar,2022,gener - desembre,517,805.48
522,Municipi,17139,"Preses, les",2022,gener - desembre,13,527.78
524,Municipi,17141,Puigcerdà,2022,gener - desembre,218,622.46
527,Municipi,43119,Puigpelat,2022,gener - desembre,9,509.11
528,Municipi,8175,Puig-reig,2022,gener - desembre,99,405.25
530,Municipi,25182,Puigverd de Lleida,2022,gener - desembre,6,475.0
531,Municipi,17142,Quart,2022,gener - desembre,41,701.1
535,Municipi,8178,Rajadell,2022,gener - desembre,6,664.5
536,Municipi,43136,"Ràpita, la",2022,gener - desembre,280,417.92
539,Municipi,8179,Rellinars,2022,gener - desembre,6,500.0
541,Municipi,43123,Reus,2022,gener - desembre,2281,525.88
542,Municipi,25183,Rialp,2022,gener - desembre,35,399.14
