CODI_10,NOM_ENS,ANY,TOTAL,HOMES,DONES
0800570005,Ajuntament de l'Ametlla del Vallès,1996,4771,,
4304960009,Ajuntament de Cornudella de Montsant,1998,865,,
7006450006,Entitat Municipal Descentralitzada de Sorpe,2020,42,22,17
4316870005,Ajuntament de Vilanova de Prades,2014,126,63,63
1717720002,Ajuntament de Sant Pau de Segúries,2005,669,338,331
4302870005,Ajuntament de la Bisbal del Penedès,2001,2078,,
4301670005,Ajuntament de l'Arboç,1996,3362,,
4303790004,Ajuntament de Calafell,2002,14637,0,0
1701440003,Ajuntament de la Vajol,2010,98,,
0827110007,Ajuntament de Sobremunt,2006,102,,
1704990004,Ajuntament de Celrà,2009,4513,,
2519020002,Ajuntament de Salàs de Pallars,2004,332,,
2507070005,Ajuntament de Castellserà,2008,1123,585,538
2517520002,Ajuntament de Prats i Sansor,2017,232,119,113
2506800000,Ajuntament de Castellnou de Seana,2010,735,,
0817120002,Ajuntament de Prats de Lluçanès,2018,2537,1273,1264
1722880001,Ajuntament de Vilanant,2016,405,,
2514030008,Ajuntament de Montferrer i Castellbò,1999,736,,
8103470005,Consell Comarcal de la Selva,2018,169029,85519,83510
1707360009,Ajuntament de Fornells de la Selva,1996,1308,,
8103320002,Consell Comarcal del Segrià,1996,163691,,
1701570005,Ajuntament de Banyoles,1994,14584,,
0816400000,Ajuntament del Pla del Penedès,2002,903,0,0
2508510007,Ajuntament d'Estaràs,2000,187,,
0813790004,Ajuntament de Montseny,2020,351,,
2501220002,Ajuntament d'Alcoletge,1993,1553,,
2512350006,Ajuntament de Lladorre,2010,232,,
1719310007,Ajuntament de Sils,2012,5702,,
4301670005,Ajuntament de l'Arboç,2003,3977,0,0
1709040003,Ajuntament de Llambilles,1994,457,,
4301410007,Ajuntament d'Amposta,2011,21445,10860,10585
1700840003,Ajuntament d'Anglès,1993,5131,,
2510950006,Ajuntament de Guimerà,2000,399,,
8103790004,Consell Comarcal de la Terra Alta,2021,11401,5799,5602
2517060009,Ajuntament de Bellaguarda,2021,292,154,138
7003740003,Entitat Municipal Descentralitzada de Sant Joan Fumat,1991,48,,
0829430008,Ajuntament de Vallgorguina,2012,2640,,
0822120002,Ajuntament de Sant Just Desvern,1990,12301,,
2518260009,Ajuntament de Puigverd de Lleida,2011,1422,735,687
0802660009,Ajuntament del Brull,2018,257,142,115
0819760009,Ajuntament de Sant Andreu de Llavaneres,2021,11150,5518,5632
2507910007,Ajuntament de Cubells,2017,373,198,175
0825080001,Ajuntament de Santa Margarida de Montbui,2005,9485,4774,4711
1700620002,Ajuntament d'Alp,2007,1576,823,753
2516890004,Ajuntament del Poal,2017,637,333,304
1702370005,Ajuntament de Blanes,1992,25928,,
8102340003,Consell Comarcal de la Noguera,2004,36394,,
0818030008,Ajuntament de Ripollet,2019,38665,,
1718640003,Ajuntament de Sarrià de Ter,1993,3283,,
1714630008,Ajuntament de Riells i Viabrea,1998,1686,,
1706690004,Ajuntament de Figueres,2005,38884,19160,19724
2523980001,Ajuntament de les Valls de Valira,2003,803,0,0
4300220002,Ajuntament d'Albinyana,2008,2292,1159,1133
2515380001,Ajuntament dels Omellons,2008,241,127,114
0806730008,Ajuntament de Centelles,2002,5939,0,0
0815740003,Ajuntament de Pallejà,2013,11208,5624,5584
0816910007,Ajuntament del Prat de Llobregat,2002,63112,0,0
4301360009,Ajuntament de l'Ametlla de Mar,2005,6438,3318,3120
1722140003,Ajuntament de Vilafant,2019,5394,,
0812060009,Ajuntament de Matadepera,2018,9291,4666,4625
0830150006,Ajuntament de Viladecans,1990,48018,,
0825670005,Ajuntament de Santa Maria de Martorelles,2011,841,430,411
0818030008,Ajuntament de Ripollet,2021,39139,19350,19789
